"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"15555",2048,0,0.000465406,512,512,4,4,13,0,4,7920992,6351072,2117024,262144,8487728,6907970,790417,0,0,398580,132860,7672456,148298750,262144,96.575672,1.098001,0.296679,25.081406,16.709456,16.830122,16.927426,83.446566,96.131022,0,26.090855,20.024138,1.095942,32.378113,24.847395,0,0,6.80776,9.946899,0,0,2713437,1321545,266539,1522500,1321551,0,0,96.135505,83.446945,581372,581372,1958448,1428464,4234048,0,0,0,0,0,0,0,2,1,7698066,2117024,0,90843004,4194304,8468096,24848370,0,0,0.208803,0,1.200168
"14843",2048,0,0.000625309,512,512,4,4,13,0,4,10457002,9839160,3279720,262144,11107799,9236671,935863,0,0,616986,205662,10335689,271309328,262144,98.793456,1.051297,0.410152,29.255383,19.492827,19.750107,19.715064,97.412689,112.185995,0,26.077572,20.010563,1.064952,42.37289,24.380793,0,0,6.814608,9.961699,0,0,4204518,2048743,415376,2359520,2048749,0,0,112.189371,97.412974,699742,699742,2631644,1810808,6559440,0,0,0,0,0,0,0,2,1,10172531,3279720,0,122388164,4194304,13118880,27468886,0,0,0.24503,0,1.093824
"17001",2048,0,0.000432958,512,512,4,4,13,0,4,7581441,1607469,535823,262144,4674239,3491237,592027,0,0,101016,33672,6807875,60728544,262144,89.800234,0.68773,0.139593,6.892207,4.590627,4.666234,4.841832,18.356235,20.714197,0,33.272865,25.008541,0.686745,17.830807,14.99458,0,0,5.971905,7.953789,0,0,603258,267820,68081,302294,267826,0,0,20.719064,18.356646,389512,389512,980324,846368,1071646,0,0,0,0,0,0,0,1,1,4083285,535823,0,45500782,4194304,2143292,20306484,0,0,0.055215,0,0.739276
"51889",3584,0,0.001325851,896,896,4,4,13,0,4,23027817,2787885,929295,802816,12362831,8918375,1722519,0,0,174966,58322,20896955,155104312,802816,90.677172,0.591609,0.11566,3.344422,2.228075,2.257654,2.298049,8.909988,10.047121,0,33.287372,25.006485,0.591139,15.399333,12.71936,0,0,5.978642,7.964867,0,0,1046059,464527,117704,523883,464533,0,0,10.048482,8.910103,1077074,1077074,2503116,2270792,1858590,0,0,0,0,0,0,0,1,1,10641226,929295,0,116616894,12845056,3717180,59211340,0,0,0.031528,0,0.589454
"50321",3584,0,0.001433691,896,896,4,4,13,0,4,24251628,9166509,3055503,802816,17890423,13913794,1988859,0,0,574218,191406,22886544,272012760,802816,93.468955,0.781701,0.1885,12.147377,8.095165,8.186052,8.169477,32.376029,36.469902,0,33.307951,25.003576,0.782536,22.284587,17.388807,0,0,5.988201,7.980591,0,0,3438533,1527533,386226,1720757,1527539,0,0,36.471407,32.376156,1385774,1385774,3918236,3154360,6111006,0,0,0,0,0,0,0,1,1,15902320,3055503,0,181684190,12845056,12222012,66956476,0,0,0.098431,0,0.891928
"61307",3840,0,0.001518811,960,960,4,4,13,0,4,26454035,28224,9408,921600,10340904,6652267,1844862,0,0,1872,624,23846559,128281326,921600,90.033223,0.434236,0.084152,0.034686,0.02289,0.02544,0.052223,0.113887,0.13594,0,25.515464,20.099128,0.43421,11.220599,8.918901,0,0,6.5,9.376603,0,0,12168,5851,1307,7215,5857,0,0,0.140436,0.114004,945264,945264,1894080,1891776,18816,0,0,0,0,0,0,0,1,1,8496800,9408,0,90541248,14745600,37632,59728992,0,0,0.000278,0,0.382688
"13217",1792,0,0.00033139,448,448,4,4,13,0,4,5805528,988425,329475,200704,3368960,2482720,443417,0,0,62640,20880,5285873,44250070,200704,90.511964,0.637352,0.13187,4.730527,3.146379,3.195169,3.412901,18.823557,18.151947,0,26.060716,16.715116,0.64247,16.785714,13.948109,0,0,7.571296,11.800287,0,0,474266,246390,41823,237670,246396,0,0,18.157371,18.824015,286096,286096,696896,613952,658950,0,0,0,0,0,0,0,1,1,2926458,329475,0,32301042,3211264,1317900,15227590,0,0,0.044337,0,0.637751
"14761",2048,0,0.000525853,512,512,4,4,13,0,4,8537062,10289709,3429903,262144,11432879,9525072,954199,0,0,644496,214832,8429213,206379822,262144,98.749164,1.331309,0.38223,37.558129,25.029745,25.378339,25.272263,100.105464,112.755432,0,33.309374,25.003375,1.35641,43.612972,31.080218,0,0,5.988863,7.981679,0,0,3859798,1714720,434709,1931474,1714726,0,0,112.759577,100.105815,714032,714032,2715204,1857728,6859806,0,0,0,0,0,0,0,3,1,10479272,3429903,0,126411822,4194304,13719612,27786964,0,0,0.31388,0,1.451146
"30057",2816,0,0.0009295,704,704,4,4,13,0,4,15815746,10716297,3572099,495616,15058879,12179702,1439882,0,0,672606,224202,15301490,276198048,495616,97.12749,0.984145,0.282787,21.083498,14.045758,14.205168,14.24732,84.259693,80.88201,0,26.066981,16.669605,0.985259,30.384166,22.276184,0,0,7.640998,11.947271,0,0,5139381,2678602,451580,2571457,2678608,0,0,80.889277,84.259882,1052810,1052810,3448940,2554024,7144198,0,0,0,0,0,0,0,2,1,13619913,3572099,0,159880186,7929856,14288396,45928482,0,0,0.176451,0,1.130481
"63353",4096,0,0.002045691,1024,1024,4,4,13,0,4,34959448,30184749,10061583,1048576,37537599,30824988,3356852,0,0,1888926,629642,34087133,692623918,1048576,97.524881,1.101691,0.317198,27.732264,18.484292,19.56972,18.903171,73.93134,83.231745,0,33.319335,25.001971,1.101257,35.798644,25.069459,0,0,5.993492,7.989294,0,0,11321263,5030395,1331552,5663448,5030401,0,0,83.235273,73.931428,2490250,2490250,8755180,6239784,20123166,0,0,0,0,0,0,0,2,1,34181537,10061583,0,407038974,16777216,40246332,103144108,0,0,0.224849,0,1.269907
