"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","NA","NA","NA"
"7432","Tesla-K40","Fan2",0.00989401744195782,0.011293398185274,1.14143706047877,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"21949","Tesla-K40","Fan2",0.0147934883802745,0.0167730952083142,1.13381609375374,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"8136","Tesla-K40","Fan2",0.00801872113074701,0.00925492130201879,1.15416425526157,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"5299","Tesla-K40","Fan2",0.00472356551990353,0.00532771680836914,1.12790153665063,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"20576","Tesla-K40","Fan2",0.0194585967150432,0.0219151932222472,1.12624736219056,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"20846","Tesla-K40","Fan2",0.0180366036209792,0.0205707707004699,1.14050134563822,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"19136","Tesla-K40","Fan2",0.0128092678864334,0.014436637863268,1.12704629111225,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"10554","Tesla-K40","Fan2",0.00913004966949474,0.0104207707101787,1.14137064828864,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"22689","Tesla-K40","Fan2",0.0139396124188097,0.0156061911011105,1.11955703158948,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"41751","Tesla-K40","Fan2",0.00636015772541506,0.00734296086566441,1.1545249634804,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"10700","Tesla-K40","Fan2",0.00882862124938996,0.0100315303514809,1.13625107115951,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"23883","Tesla-K40","Fan2",0.0218080304740767,0.0246375605897568,1.12974716442384,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"33820","Tesla-K40","Fan2",0.0189551845817201,0.0213123663479718,1.12435551635434,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"9456","Tesla-K40","Fan2",0.0133367134754874,0.0155644586497973,1.16703854202195,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"18886","Tesla-K40","Fan2",0.0130997287418076,0.0149007450078806,1.13748500458068,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"25527","Tesla-K40","Fan2",0.0162869718535014,0.0184490281855802,1.13274759430582,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"32603","Tesla-K40","Fan2",0.0211034246749049,0.0239776729961007,1.13619819368056,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"10719","Tesla-K40","Fan2",0.00879673236459512,0.00998098305895424,1.13462393139587,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"8723","Tesla-K40","Fan2",0.00712968657638885,0.00806615410687862,1.1313476434702,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"22593","Tesla-K40","Fan2",0.0140462053349399,0.0157789165118453,1.12335795580285,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"4886","Tesla-K40","Fan2",0.00486063838182206,0.00550302378684995,1.13216070700308,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"22114","Tesla-K40","Fan2",0.0146412981541816,0.0165987234514249,1.13369205903947,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"5228","Tesla-K40","Fan2",0.00472355809971782,0.00536463103758718,1.13571822857597,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"12346","Tesla-K40","Fan2",0.0121549224791372,0.01393790854811,1.14668839493079,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"28585","Tesla-K40","Fan2",0.0210098164153157,0.0235743910232854,1.12206554104396,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"17703","Tesla-K40","Fan2",0.0176284555155647,0.0201305859800854,1.14193702121615,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"28909","Tesla-K40","Fan2",0.0193942316821618,0.021709646738639,1.11938678955799,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"21719","Tesla-K40","Fan2",0.0154189515768197,0.0173777731275807,1.12703986655654,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"1646","Tesla-K40","Fan2",0.00377896567796756,0.00439172354704513,1.16214962539886,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"8254","Tesla-K40","Fan2",0.00783311258801755,0.00896838055668046,1.14493191000466,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"13270","Tesla-K40","Fan2",0.0100813503472696,0.0113917279021575,1.12998036074034,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"5265","Tesla-K40","Fan2",0.00472355809971782,0.00531692661406281,1.12561897235485,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"3997","Tesla-K40","Fan2",0.00705133764338743,0.00811719507490015,1.15115677129888,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"21669","Tesla-K40","Fan2",0.0154531108027278,0.0174712578628701,1.1305981097208,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"6601","Tesla-K40","Fan2",0.00605975571168351,0.00686005845385283,1.13206848266611,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"27497","Tesla-K40","Fan2",0.0310633679422459,0.0366206867317641,1.17890264828497,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"33134","Tesla-K40","Fan2",0.019898442873696,0.0224870100784678,1.13008893314932,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"26555","Tesla-K40","Fan2",0.0152640410428689,0.0169964286750316,1.11349469169385,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"4447","Tesla-K40","Fan2",0.00585793273556399,0.00673429506436415,1.14960266161468,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"32388","Tesla-K40","Fan2",0.0216819331146241,0.0245203294758295,1.13091066862903,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"15809","Tesla-K40","Fan2",0.0118000959626008,0.0134155174636183,1.13689901388407,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"1147","Tesla-K40","Fan2",0.00192862883944015,0.00234173482575295,1.21419672767764,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"22392","Tesla-K40","Fan2",0.0143239105321734,0.0161716548082192,1.12899719471827,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"2317","Tesla-K40","Fan2",0.00270696340158205,0.00316630968790625,1.16969061571196,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"26793","Tesla-K40","Fan2",0.0152637629125999,0.0166114124420508,1.08829077974858,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"23919","Tesla-K40","Fan2",0.0217462282200107,0.0245761864103709,1.13013558773177,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"6425","Tesla-K40","Fan2",0.00635078156361753,0.0072673994235759,1.14433150483549,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"17248","Tesla-K40","Fan2",0.0210011005371085,0.0245962407218822,1.17118818027756,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"31626","Tesla-K40","Fan2",0.0238613307717938,0.0275482672464527,1.15451512365007,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"23346","Tesla-K40","Fan2",0.0246206177756334,0.0281141273928097,1.14189366201175,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"33272","Tesla-K40","Fan2",0.0196665698193879,0.0221415173712989,1.12584541049304,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"457","Tesla-K40","Fan2",0.00119265146806182,0.00146674973706455,1.22982260647209,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
"14878","Tesla-K40","Fan2",0.0142949775375942,0.0163942098390778,1.14685103883254,"0.25",1.22982260647209,1.07983341867206,0.0231445653105049
