"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","NA","NA","NA"
"91","Tesla-K40","bpnn_adjust_weights_cuda",0.00155823151320286,0.00164353679656074,1.05474493529048,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"81","Tesla-K40","bpnn_adjust_weights_cuda",0.00149322568885982,0.0015685660490893,1.0504547710313,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"321","Tesla-K40","bpnn_adjust_weights_cuda",0.00284430513114236,0.00298650323057705,1.04999396790371,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"291","Tesla-K40","bpnn_adjust_weights_cuda",0.00269817506051468,0.00283341065409606,1.0501211339325,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"201","Tesla-K40","bpnn_adjust_weights_cuda",0.00221859422800839,0.00232486237413956,1.04789886532183,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"271","Tesla-K40","bpnn_adjust_weights_cuda",0.00259009516511004,0.00272559134864285,1.05231320661805,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"571","Tesla-K40","bpnn_adjust_weights_cuda",0.00399051972278385,0.00418943633908891,1.04984729562151,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"401","Tesla-K40","bpnn_adjust_weights_cuda",0.00323260533884742,0.00339375823795302,1.04985232721389,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"501","Tesla-K40","bpnn_adjust_weights_cuda",0.00368223392282943,0.00386871788154123,1.05064424548251,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"311","Tesla-K40","bpnn_adjust_weights_cuda",0.00279295771984257,0.00294042767212186,1.05280063898984,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"481","Tesla-K40","bpnn_adjust_weights_cuda",0.0035956162649892,0.00377895301552102,1.05098896462256,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"461","Tesla-K40","bpnn_adjust_weights_cuda",0.00350292501551562,0.00369795939478617,1.05567757756922,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"331","Tesla-K40","bpnn_adjust_weights_cuda",0.00289728173305904,0.00304276024511212,1.05021206960756,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"471","Tesla-K40","bpnn_adjust_weights_cuda",0.00355237241857228,0.00372961390268671,1.04989383522623,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"491","Tesla-K40","bpnn_adjust_weights_cuda",0.00363943894229309,0.00382720993551422,1.0515933901347,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"241","Tesla-K40","bpnn_adjust_weights_cuda",0.00243005451053481,0.00256224667731661,1.05439884834218,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"101","Tesla-K40","bpnn_adjust_weights_cuda",0.00162282015114321,0.0017106748108079,1.05413702781716,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"351","Tesla-K40","bpnn_adjust_weights_cuda",0.0029912355714773,0.00315024869768515,1.05315968014158,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"431","Tesla-K40","bpnn_adjust_weights_cuda",0.00336813425315698,0.0035363297194243,1.04993728088768,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"281","Tesla-K40","bpnn_adjust_weights_cuda",0.00264283492584395,0.00278517694193517,1.05385959399101,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"521","Tesla-K40","bpnn_adjust_weights_cuda",0.00377687684473485,0.00397560621204236,1.05261738083532,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"371","Tesla-K40","bpnn_adjust_weights_cuda",0.00309021564851095,0.00324801647153224,1.05106466375488,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"110","Tesla-K40","bpnn_adjust_weights_cuda",0.000983351957820218,0.00103404427716578,1.05155053482369,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"161","Tesla-K40","bpnn_adjust_weights_cuda",0.001995553295956,0.0020911814249443,1.04792060887679,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"381","Tesla-K40","bpnn_adjust_weights_cuda",0.00313647794570393,0.00329422235265616,1.05029348513937,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"421","Tesla-K40","bpnn_adjust_weights_cuda",0.00332499611550962,0.00349122691765867,1.04999428461695,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"301","Tesla-K40","bpnn_adjust_weights_cuda",0.00274120781484541,0.00288630521241245,1.05293192175407,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"131","Tesla-K40","bpnn_adjust_weights_cuda",0.00181198020428213,0.00190565346442017,1.05169662445355,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"531","Tesla-K40","bpnn_adjust_weights_cuda",0.00381950269114589,0.00400761846466202,1.04925137870755,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"561","Tesla-K40","bpnn_adjust_weights_cuda",0.00395359336094953,0.00414529487720125,1.04848791940648,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"410","Tesla-K40","bpnn_adjust_weights_cuda",0.0012026770630068,0.0012738476400469,1.0591767975205,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"391","Tesla-K40","bpnn_adjust_weights_cuda",0.00318470221226412,0.00334351719303483,1.04986807876703,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"151","Tesla-K40","bpnn_adjust_weights_cuda",0.00193127558254205,0.00203106787342717,1.05167169915428,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"361","Tesla-K40","bpnn_adjust_weights_cuda",0.00303758464972341,0.00319593730819974,1.05213110966002,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"210","Tesla-K40","bpnn_adjust_weights_cuda",0.00105821198349666,0.00111744696463529,1.0559764792522,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"341","Tesla-K40","bpnn_adjust_weights_cuda",0.00294017434585225,0.0030945275436701,1.05249797449447,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"58","Tesla-K40","bpnn_adjust_weights_cuda",0.00127906159594846,0.00135369929657077,1.05835348419399,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"71","Tesla-K40","bpnn_adjust_weights_cuda",0.00142652569564724,0.00149859070151072,1.05051784631947,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"541","Tesla-K40","bpnn_adjust_weights_cuda",0.00386295726516519,0.0040503228641696,1.04850315086165,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"111","Tesla-K40","bpnn_adjust_weights_cuda",0.00168552894232371,0.00177442097319914,1.05273835924341,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"211","Tesla-K40","bpnn_adjust_weights_cuda",0.00227108434071424,0.00238664081948664,1.05088163248752,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"221","Tesla-K40","bpnn_adjust_weights_cuda",0.00232627237395299,0.00244915446057166,1.05282360225508,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"251","Tesla-K40","bpnn_adjust_weights_cuda",0.0024863126404028,0.00261872332440768,1.05325584636992,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"191","Tesla-K40","bpnn_adjust_weights_cuda",0.00215716782316924,0.0022716682142473,1.05307903717469,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"411","Tesla-K40","bpnn_adjust_weights_cuda",0.00327600938208701,0.00344405660217293,1.05129631832094,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"121","Tesla-K40","bpnn_adjust_weights_cuda",0.00175055044123427,0.0018378243084237,1.04985509993525,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"231","Tesla-K40","bpnn_adjust_weights_cuda",0.00237671470644471,0.00250042062302585,1.05204912320595,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"451","Tesla-K40","bpnn_adjust_weights_cuda",0.00345833901366709,0.00364137279588219,1.05292534407175,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"61","Tesla-K40","bpnn_adjust_weights_cuda",0.00135430250598765,0.00143153850120896,1.05703009104674,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"511","Tesla-K40","bpnn_adjust_weights_cuda",0.00373246411376887,0.00392041683072803,1.0503562020237,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"171","Tesla-K40","bpnn_adjust_weights_cuda",0.00204500657529441,0.00215142883479764,1.05204005737141,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"181","Tesla-K40","bpnn_adjust_weights_cuda",0.00210617403465434,0.00221212658295809,1.05030569485733,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"141","Tesla-K40","bpnn_adjust_weights_cuda",0.00186963916411688,0.00196512226572661,1.05107033669507,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"310","Tesla-K40","bpnn_adjust_weights_cuda",0.00113213666675098,0.0011958473834161,1.05627475775337,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"441","Tesla-K40","bpnn_adjust_weights_cuda",0.00341297442065723,0.00359401497701878,1.05304480316811,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"551","Tesla-K40","bpnn_adjust_weights_cuda",0.00390697131598343,0.00409899998486854,1.04915026329974,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"261","Tesla-K40","bpnn_adjust_weights_cuda",0.00253687561384597,0.00266669737919687,1.05117387886199,"0.25",1.0591767975205,1.04789886532183,0.00243053033968443
"59","Tesla-K20","bpnn_adjust_weights_cuda",0.00126251513604707,0.00123731944214019,0.980043253987612,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"82","Tesla-K20","bpnn_adjust_weights_cuda",0.00146624633099169,0.00143278494299983,0.977178876915431,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"312","Tesla-K20","bpnn_adjust_weights_cuda",0.00275061373940292,0.00268483920461137,0.976087324130857,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"222","Tesla-K20","bpnn_adjust_weights_cuda",0.0022924146323808,0.00223532290400933,0.97509537429877,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"182","Tesla-K20","bpnn_adjust_weights_cuda",0.00207145951824177,0.00201794856143886,0.974167510235329,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"62","Tesla-K20","bpnn_adjust_weights_cuda",0.00133444880543668,0.00130463519662089,0.977658484391214,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"442","Tesla-K20","bpnn_adjust_weights_cuda",0.00336350464336708,0.00328180722626479,0.975710627525549,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"313","Tesla-K20","bpnn_adjust_weights_cuda",0.00111870862624444,0.00109355756521124,0.977517773222478,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"172","Tesla-K20","bpnn_adjust_weights_cuda",0.00201329539111186,0.00196285528280355,0.974946493926827,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"152","Tesla-K20","bpnn_adjust_weights_cuda",0.00189890773584126,0.0018546588885689,0.976697737105823,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"402","Tesla-K20","bpnn_adjust_weights_cuda",0.00318306755922804,0.00310576200325256,0.975713504493061,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"572","Tesla-K20","bpnn_adjust_weights_cuda",0.00392768041540916,0.00382945493995477,0.974991479686325,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"562","Tesla-K20","bpnn_adjust_weights_cuda",0.00388454688002355,0.00378976476903937,0.975600214410694,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"532","Tesla-K20","bpnn_adjust_weights_cuda",0.00375725779176582,0.00366847189968371,0.97636949685042,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"342","Tesla-K20","bpnn_adjust_weights_cuda",0.00289997130532022,0.00282584118614768,0.974437637008152,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"362","Tesla-K20","bpnn_adjust_weights_cuda",0.00299593011769485,0.00292086709711057,0.974945002842043,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"382","Tesla-K20","bpnn_adjust_weights_cuda",0.00308883666649886,0.0030132289892482,0.975522280581978,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"322","Tesla-K20","bpnn_adjust_weights_cuda",0.00279899431677609,0.00273359117922556,0.976633343926949,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"212","Tesla-K20","bpnn_adjust_weights_cuda",0.00104298288407394,0.0010144259928879,0.972619980996728,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"202","Tesla-K20","bpnn_adjust_weights_cuda",0.00218467878784835,0.00212798150862271,0.97404777327404,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"552","Tesla-K20","bpnn_adjust_weights_cuda",0.00384405394354393,0.0037500439192421,0.975544041347362,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"302","Tesla-K20","bpnn_adjust_weights_cuda",0.00270185345194943,0.00263700326075873,0.975997887248879,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"452","Tesla-K20","bpnn_adjust_weights_cuda",0.00340780599605212,0.00332570116290397,0.975906834707354,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"352","Tesla-K20","bpnn_adjust_weights_cuda",0.00294432851551577,0.00287556962593787,0.976647004838097,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"232","Tesla-K20","bpnn_adjust_weights_cuda",0.00234706513500343,0.0022871781174756,0.974484296735234,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"392","Tesla-K20","bpnn_adjust_weights_cuda",0.00313083637122812,0.00306006120091287,0.977394165033453,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"213","Tesla-K20","bpnn_adjust_weights_cuda",0.00223386409862673,0.00218172691760206,0.97666054033604,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"472","Tesla-K20","bpnn_adjust_weights_cuda",0.00349619681387438,0.00341325025961028,0.976275204549431,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"412","Tesla-K20","bpnn_adjust_weights_cuda",0.00322816294751133,0.00314946076229657,0.975620132411398,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"122","Tesla-K20","bpnn_adjust_weights_cuda",0.00172098456898901,0.00167709108522676,0.974495132290445,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"242","Tesla-K20","bpnn_adjust_weights_cuda",0.00239506753392782,0.00233806429335886,0.976199735597653,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"262","Tesla-K20","bpnn_adjust_weights_cuda",0.0025017885187956,0.0024410332236635,0.975715255436001,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"482","Tesla-K20","bpnn_adjust_weights_cuda",0.00354110147748381,0.00345375029930647,0.975332201369328,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"92","Tesla-K20","bpnn_adjust_weights_cuda",0.00153176274016125,0.00149703614025499,0.977328995544959,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"132","Tesla-K20","bpnn_adjust_weights_cuda",0.00178067406847199,0.00173645572639332,0.975167638558015,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"332","Tesla-K20","bpnn_adjust_weights_cuda",0.0028478987096324,0.00278068289385293,0.976398101676816,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"413","Tesla-K20","bpnn_adjust_weights_cuda",0.00119179156738698,0.00116628443442282,0.978597656115252,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"72","Tesla-K20","bpnn_adjust_weights_cuda",0.00140225376570603,0.00136787219909401,0.975481209284031,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"292","Tesla-K20","bpnn_adjust_weights_cuda",0.00265147411784045,0.00258816052743406,0.976121362082932,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"142","Tesla-K20","bpnn_adjust_weights_cuda",0.0018420130692694,0.00179590688445508,0.974969675523195,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"422","Tesla-K20","bpnn_adjust_weights_cuda",0.00327355722584493,0.00319158998655732,0.974960804521617,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
"272","Tesla-K20","bpnn_adjust_weights_cuda",0.00255252660068251,0.00249305911305509,0.976702500333779,"0.25",0.980043253987612,0.972619980996728,0.00124844355664258
