"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","maxAccuracy","minAccuracy","sdAccuracy"
"38","GTX-680","hotspotOpt1",0.00546987916050098,Inf,Inf,"0.25",Inf,Inf,NA
"11","GTX-680","hotspotOpt1",0.0057207985543274,Inf,Inf,"0.25",Inf,Inf,NA
"47","GTX-680","hotspotOpt1",0.00247113998541588,Inf,Inf,"0.25",Inf,Inf,NA
"53","GTX-680","hotspotOpt1",0.00246987456137914,Inf,Inf,"0.25",Inf,Inf,NA
"39","GTX-680","hotspotOpt1",0.00247050730926498,Inf,Inf,"0.25",Inf,Inf,NA
"31","GTX-680","hotspotOpt1",0.00354641882229058,Inf,Inf,"0.25",Inf,Inf,NA
"26","GTX-680","hotspotOpt1",0.00369123491980526,Inf,Inf,"0.25",Inf,Inf,NA
"7","GTX-680","hotspotOpt1",0.00573104714135189,Inf,Inf,"0.25",Inf,Inf,NA
"22","GTX-680","hotspotOpt1",0.00549966740291506,Inf,Inf,"0.25",Inf,Inf,NA
"34","GTX-680","hotspotOpt1",0.00247240512265135,Inf,Inf,"0.25",Inf,Inf,NA
"43","GTX-680","hotspotOpt1",0.00246924174172373,Inf,Inf,"0.25",Inf,Inf,NA
"25","GTX-680","hotspotOpt1",0.00550032639379825,Inf,Inf,"0.25",Inf,Inf,NA
"42","GTX-680","hotspotOpt1",0.00246829237759676,Inf,Inf,"0.25",Inf,Inf,NA
"41","GTX-680","hotspotOpt1",0.002467342851793,Inf,Inf,"0.25",Inf,Inf,NA
"52","GTX-680","hotspotOpt1",0.0055069906431872,Inf,Inf,"0.25",Inf,Inf,NA
"24","GTX-680","hotspotOpt1",0.00550143619418311,Inf,Inf,"0.25",Inf,Inf,NA
"56","GTX-680","hotspotOpt1",0.00368885105801201,Inf,Inf,"0.25",Inf,Inf,NA
"14","GTX-680","hotspotOpt1",0.00369547121450846,Inf,Inf,"0.25",Inf,Inf,NA
"12","GTX-680","hotspotOpt1",0.00369520650908951,Inf,Inf,"0.25",Inf,Inf,NA
"28","GTX-680","hotspotOpt1",0.00369494179527585,Inf,Inf,"0.25",Inf,Inf,NA
"45","GTX-680","hotspotOpt1",0.0035496530072151,Inf,Inf,"0.25",Inf,Inf,NA
"48","GTX-680","hotspotOpt1",0.0036978449161463,Inf,Inf,"0.25",Inf,Inf,NA
"17","GTX-680","hotspotOpt1",0.00573780921699607,Inf,Inf,"0.25",Inf,Inf,NA
"29","GTX-680","hotspotOpt1",0.0054787835513991,Inf,Inf,"0.25",Inf,Inf,NA
"50","GTX-680","hotspotOpt1",0.00246860885026404,Inf,Inf,"0.25",Inf,Inf,NA
