"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures"
"925","GTX-680","needle_cuda_shared_2",1.04461147976265,1.10142612127551,1.05438829901216,"0.5","5"
"240","GTX-680","needle_cuda_shared_2",1.11090804229115,1.11274061230401,1.00164961449832,"0.5","5"
"333","GTX-680","needle_cuda_shared_2",1.11960698244783,1.11456153774183,0.995493557306175,"0.5","5"
"497","GTX-680","needle_cuda_shared_2",1.04382820466842,1.0982732827071,1.05215904091802,"0.5","5"
"375","GTX-680","needle_cuda_shared_2",1.13995050280799,1.11644991174613,0.979384551343254,"0.5","5"
"870","GTX-680","needle_cuda_shared_2",1.04643578529767,1.10223287818899,1.05332108637268,"0.5","5"
"538","GTX-680","needle_cuda_shared_2",1.14562329116941,1.11771613257493,0.97564019620621,"0.5","5"
"531","GTX-680","needle_cuda_shared_2",1.10343574365623,1.10985344216169,1.00581610532589,"0.5","5"
"171","GTX-680","needle_cuda_shared_2",1.09869333732852,1.10889853076787,1.0092884821384,"0.5","5"
"813","GTX-680","needle_cuda_shared_2",1.14793964416485,1.11965441470364,0.975360002936568,"0.5","5"
"839","GTX-680","needle_cuda_shared_2",1.13975353194257,1.11613012710111,0.979273233923483,"0.5","5"
"919","GTX-680","needle_cuda_shared_2",1.13627056964512,1.11265919869668,0.979220291734026,"0.5","5"
"128","GTX-680","needle_cuda_shared_2",1.13107495074218,1.11559119887477,0.986310587236276,"0.5","5"
"209","GTX-680","needle_cuda_shared_2",1.13035352084518,1.11484515407803,0.986280073905067,"0.5","5"
"495","GTX-680","needle_cuda_shared_2",1.03514989583268,1.0988653165991,1.06155187864379,"0.5","5"
"201","GTX-680","needle_cuda_shared_2",1.14879494904991,1.13628204532714,0.989107800540799,"0.5","5"
"232","GTX-680","needle_cuda_shared_2",1.14335754777217,1.11689199231237,0.976852774085088,"0.5","5"
"694","GTX-680","needle_cuda_shared_2",1.13741259621846,1.11373296895494,0.979181145573514,"0.5","5"
"776","GTX-680","needle_cuda_shared_2",1.06965696645604,1.11139993373521,1.03902462994045,"0.5","5"
"688","GTX-680","needle_cuda_shared_2",1.05892090796125,1.10415437996226,1.04271657274961,"0.5","5"
"734","GTX-680","needle_cuda_shared_2",1.04166599408457,1.10025597039975,1.05624641357969,"0.5","5"
"859","GTX-680","needle_cuda_shared_2",1.14214223937794,1.11483062454817,0.97608737870981,"0.5","5"
"904","GTX-680","needle_cuda_shared_2",1.14294451861706,1.11726843572978,0.977535144996939,"0.5","5"
"539","GTX-680","needle_cuda_shared_2",1.14074214886194,1.11349789184471,0.976117076900853,"0.5","5"
"184","GTX-680","needle_cuda_shared_2",1.14858046059812,1.13518396306526,0.98833647446354,"0.5","5"
"766","GTX-680","needle_cuda_shared_2",1.06640513778677,1.11150749989552,1.04229383421985,"0.5","5"
"723","GTX-680","needle_cuda_shared_2",1.07056181578859,1.11345417681555,1.04006528198035,"0.5","5"
"773","GTX-680","needle_cuda_shared_2",1.1518453198235,1.1586994953699,1.0059506041553,"0.5","5"
"142","GTX-680","needle_cuda_shared_2",1.04723908233874,1.09954976610672,1.0499510423648,"0.5","5"
"444","GTX-680","needle_cuda_shared_2",1.12475593265209,1.11452088368493,0.990900204506563,"0.5","5"
"847","GTX-680","needle_cuda_shared_2",1.14836641484727,1.1195361017351,0.974894499926658,"0.5","5"
"111","GTX-680","needle_cuda_shared_2",1.11061046639264,1.10954207121585,0.999038010887594,"0.5","5"
"724","GTX-680","needle_cuda_shared_2",1.10724834251492,1.11066907106381,1.00308939595351,"0.5","5"
"156","GTX-680","needle_cuda_shared_2",1.13761119017282,1.11562023242113,0.98066917946865,"0.5","5"
"428","GTX-680","needle_cuda_shared_2",1.05338513968386,1.10305393893763,1.04715160427332,"0.5","5"
"841","GTX-680","needle_cuda_shared_2",1.0628764389412,1.10534714357271,1.03995827085397,"0.5","5"
"909","GTX-680","needle_cuda_shared_2",1.09816490240437,1.11169160934701,1.01231755532619,"0.5","5"
"344","GTX-680","needle_cuda_shared_2",1.04406256664268,1.10307137713928,1.05651846199826,"0.5","5"
"517","GTX-680","needle_cuda_shared_2",1.14815280997366,1.11944810072599,0.974999225714274,"0.5","5"
"742","GTX-680","needle_cuda_shared_2",1.14074214886194,1.11683400294564,0.979041586268951,"0.5","5"
"599","GTX-680","needle_cuda_shared_2",1.12424632411077,1.11383717138165,0.990741217021673,"0.5","5"
"712","GTX-680","needle_cuda_shared_2",1.14604061619726,1.11799642953754,0.975529500208487,"0.5","5"
"276","GTX-680","needle_cuda_shared_2",1.14034557044568,1.11335133838928,0.976328024805805,"0.5","5"
"952","GTX-680","needle_cuda_shared_2",1.09790169127456,1.10925764156734,1.01034332161342,"0.5","5"
"808","GTX-680","needle_cuda_shared_2",1.14793964416485,1.14312824616163,0.995808666398376,"0.5","5"
"488","GTX-680","needle_cuda_shared_2",1.12124016784621,1.11408492887967,0.993618460012638,"0.5","5"
"780","GTX-680","needle_cuda_shared_2",1.14094100823154,1.11326165816096,0.975739893762361,"0.5","5"
"474","GTX-680","needle_cuda_shared_2",1.14397058480545,1.12556658168874,0.983912171028564,"0.5","5"
"306","GTX-680","needle_cuda_shared_2",1.03754571065934,1.09791014905014,1.05818002789722,"0.5","5"
"48","GTX-680","needle_cuda_shared_2",1.14397058480545,1.14031124175593,0.996801191308483,"0.5","5"
"827","GTX-680","needle_cuda_shared_2",1.11532169261482,1.11414435049341,0.998944392340613,"0.5","5"
"503","GTX-680","needle_cuda_shared_2",1.14479364570883,1.1181059487774,0.976687766366045,"0.5","5"
"664","GTX-680","needle_cuda_shared_2",1.14772691561955,1.11907335444407,0.975034513188176,"0.5","5"
"352","GTX-680","needle_cuda_shared_2",1.14815280997366,1.12495454730084,0.9797951435808,"0.5","5"
"266","GTX-680","needle_cuda_shared_2",1.14688033843279,1.11812343372045,0.974925976365036,"0.5","5"
"466","GTX-680","needle_cuda_shared_2",1.13703451512166,1.11654966399117,0.981983967190037,"0.5","5"
"631","GTX-680","needle_cuda_shared_2",1.1312560951192,1.11223520143094,0.983186040923601,"0.5","5"
"28","GTX-680","needle_cuda_shared_2",1.13053340836552,1.11432704145179,0.985664849181981,"0.5","5"
"324","GTX-680","needle_cuda_shared_2",1.14194106544585,1.11470433730042,0.976148744475885,"0.5","5"
"5","GTX-680","needle_cuda_shared_2",1.12223256900283,1.11489548271047,0.993462062592884,"0.5","5"
"522","GTX-680","needle_cuda_shared_2",1.05253299742438,1.10293834501315,1.04788956518428,"0.5","5"
