"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures"
"211","GTX-680","hotspotOpt1",1.32151418788536,1.36174984794027,1.0304466349463,"0.5","5"
"266","GTX-680","hotspotOpt1",1.52499289012721,1.54008081647819,1.00989376832421,"0.5","5"
"332","GTX-680","hotspotOpt1",1.52525318373656,1.49119616338933,0.977671234710163,"0.5","5"
"531","GTX-680","hotspotOpt1",1.52551386268301,1.54008081647819,1.00954888326584,"0.5","5"
"202","GTX-680","hotspotOpt1",1.52502540579418,1.49005373447999,0.977068138549479,"0.5","5"
"221","GTX-680","hotspotOpt1",1.32190397101108,1.36198337164301,1.03031944945386,"0.5","5"
"234","GTX-680","hotspotOpt1",1.32157594476388,1.36233954455266,1.03084468959222,"0.5","5"
"688","GTX-680","hotspotOpt1",1.42304713493127,1.43007096218931,1.00493576571403,"0.5","5"
"852","GTX-680","hotspotOpt1",1.42273818581936,1.43091194672137,1.00574509139031,"0.5","5"
"687","GTX-680","hotspotOpt1",1.32133032546936,1.36198337164301,1.03076675483037,"0.5","5"
"982","GTX-680","hotspotOpt1",1.52508943856539,1.49083629779209,0.977540241308393,"0.5","5"
"993","GTX-680","hotspotOpt1",1.52479690721966,1.48857808768343,0.976246791054773,"0.5","5"
"718","GTX-680","hotspotOpt1",1.31078140512005,1.36298204044711,1.03982405847624,"0.5","5"
"646","GTX-680","hotspotOpt1",1.42284679673751,1.42996985138747,1.00500619930852,"0.5","5"
"834","GTX-680","hotspotOpt1",1.31093558975755,1.3619577186433,1.03892039340787,"0.5","5"
"681","GTX-680","hotspotOpt1",1.52557909276233,1.500736708021,0.98371609518039,"0.5","5"
"233","GTX-680","hotspotOpt1",1.42321121770222,1.43040676792084,1.00505585546904,"0.5","5"
"339","GTX-680","hotspotOpt1",1.31072362066949,1.35984776022222,1.03747864063641,"0.5","5"
"50","GTX-680","hotspotOpt1",1.32181133138087,1.36174984794027,1.03021499030249,"0.5","5"
"755","GTX-680","hotspotOpt1",1.31119608286175,1.36198337164301,1.03873355743286,"0.5","5"
"422","GTX-680","hotspotOpt1",1.32169888300835,1.36198337164301,1.03047932411275,"0.5","5"
"93","GTX-680","hotspotOpt1",1.31099344382067,1.36174903342487,1.03871536493446,"0.5","5"
"795","GTX-680","hotspotOpt1",1.31105131689815,1.36298204044711,1.03960998542134,"0.5","5"
"294","GTX-680","hotspotOpt1",1.52554545548515,1.4901827953462,0.976819661445155,"0.5","5"
"375","GTX-680","hotspotOpt1",1.52515451158087,1.50197334958008,0.984800778003301,"0.5","5"
"73","GTX-680","hotspotOpt1",1.32137123823367,1.36174984794027,1.03055811155734,"0.5","5"
"494","GTX-680","hotspotOpt1",1.32390549527036,1.36198337164301,1.0287617783208,"0.5","5"
"495","GTX-680","hotspotOpt1",1.52499289012721,1.50029247966259,0.98380293401725,"0.5","5"
"228","GTX-680","hotspotOpt1",1.42261032690163,1.41870012587211,0.997251389958602,"0.5","5"
"280","GTX-680","hotspotOpt1",1.32154490362538,1.36174984794027,1.03042268499889,"0.5","5"
"657","GTX-680","hotspotOpt1",1.3215653837624,1.35974285366291,1.02888806741579,"0.5","5"
"863","GTX-680","hotspotOpt1",1.42253763079333,1.42675668785187,1.00296586674912,"0.5","5"
"771","GTX-680","hotspotOpt1",1.52554647470218,1.49083629779209,0.97724738152152,"0.5","5"
"166","GTX-680","hotspotOpt1",1.52521960865292,1.4911212509179,0.977643640599968,"0.5","5"
"81","GTX-680","hotspotOpt1",1.42288377385187,1.42791831665989,1.00353826707461,"0.5","5"
"876","GTX-680","hotspotOpt1",1.52561171686569,1.50029247966259,0.983403878638848,"0.5","5"
"449","GTX-680","hotspotOpt1",1.42295604385934,1.43022899529366,1.00511115678218,"0.5","5"
"571","GTX-680","hotspotOpt1",1.43499692516202,1.4276231309351,0.994861456427103,"0.5","5"
"842","GTX-680","hotspotOpt1",1.31098380015671,1.36198337164301,1.03890175567403,"0.5","5"
"679","GTX-680","hotspotOpt1",1.32095201344647,1.36198337164301,1.03106195969185,"0.5","5"
"337","GTX-680","hotspotOpt1",1.42275637774198,1.43068224221405,1.00557078119351,"0.5","5"
"634","GTX-680","hotspotOpt1",1.4333856114195,1.43167061327882,0.998803533308118,"0.5","5"
"461","GTX-680","hotspotOpt1",1.32171938106305,1.36233954455266,1.03073281974343,"0.5","5"
"232","GTX-680","hotspotOpt1",1.52541606284898,1.53100592762204,1.00366448532253,"0.5","5"
"429","GTX-680","hotspotOpt1",1.31108990951951,1.36174984794027,1.03863956091259,"0.5","5"
"906","GTX-680","hotspotOpt1",1.31117677385543,1.36175419748178,1.0385740692139,"0.5","5"
"78","GTX-680","hotspotOpt1",1.42282859547162,1.43127447436561,1.00593597775647,"0.5","5"
"141","GTX-680","hotspotOpt1",1.52492787680038,1.49022710602233,0.977244320006231,"0.5","5"
"750","GTX-680","hotspotOpt1",1.5248304017947,1.53100592762204,1.00404997553831,"0.5","5"
"728","GTX-680","hotspotOpt1",1.52518705710871,1.49034901691679,0.97715818526682,"0.5","5"
"408","GTX-680","hotspotOpt1",1.32152474581667,1.36174984794027,1.03043840249751,"0.5","5"
"881","GTX-680","hotspotOpt1",1.42259215006074,1.43040676792084,1.00549322436495,"0.5","5"
"868","GTX-680","hotspotOpt1",1.42295604385934,1.43091194672137,1.00559110936445,"0.5","5"
"635","GTX-680","hotspotOpt1",1.52522062598564,1.50197046897748,0.98475620076726,"0.5","5"
"651","GTX-680","hotspotOpt1",1.52518705710871,1.48908262934785,0.976327869035746,"0.5","5"
"744","GTX-680","hotspotOpt1",1.42324770131324,1.43076593530083,1.00528244941528,"0.5","5"
"577","GTX-680","hotspotOpt1",1.52561171686569,1.54008081647819,1.00948412984283,"0.5","5"
"550","GTX-680","hotspotOpt1",1.42310181220152,1.42996985138747,1.00482610529131,"0.5","5"
"404","GTX-680","hotspotOpt1",1.32317021828911,1.36175419748178,1.02916025365396,"0.5","5"
"462","GTX-680","hotspotOpt1",1.31114781431538,1.36198337164301,1.03877179733101,"0.5","5"
"964","GTX-680","hotspotOpt1",1.52499289012721,1.54008081647819,1.00989376832421,"0.5","5"
"88","GTX-680","hotspotOpt1",1.42288320491437,1.40809574437193,0.989607396804343,"0.5","5"
"524","GTX-680","hotspotOpt1",1.31077177306136,1.36175419748178,1.03889496666636,"0.5","5"
"780","GTX-680","hotspotOpt1",1.52499289012721,1.54008081647819,1.00989376832421,"0.5","5"
"884","GTX-680","hotspotOpt1",1.52531831730327,1.49007103611804,0.976891852156111,"0.5","5"
"541","GTX-680","hotspotOpt1",1.52509045514634,1.49487384890461,0.980187007177337,"0.5","5"
"575","GTX-680","hotspotOpt1",1.42326594595378,1.42675668785187,1.00245262799128,"0.5","5"
"510","GTX-680","hotspotOpt1",1.32124852844713,1.36174903342487,1.03065320725492,"0.5","5"
"218","GTX-680","hotspotOpt1",1.52525318373656,1.50195688148833,0.984726272007409,"0.5","5"
"324","GTX-680","hotspotOpt1",1.42262850561903,1.42675668785187,1.00290179918126,"0.5","5"
"782","GTX-680","hotspotOpt1",1.42288320491437,1.43068224221405,1.0054811507176,"0.5","5"
"832","GTX-680","hotspotOpt1",1.52508943856539,1.49487384890461,0.98018766054193,"0.5","5"
"295","GTX-680","hotspotOpt1",1.52502540579418,1.50197046897748,0.984882260499331,"0.5","5"
"119","GTX-680","hotspotOpt1",1.42242921034295,1.42873748900166,1.0044348629885,"0.5","5"
"215","GTX-680","hotspotOpt1",1.42290141182613,1.42866030191098,1.0040472867881,"0.5","5"
"446","GTX-680","hotspotOpt1",1.42282859547162,1.43068224221405,1.0055197419896,"0.5","5"
"481","GTX-680","hotspotOpt1",1.42273761735206,1.41172395544519,0.992258824274734,"0.5","5"
"173","GTX-680","hotspotOpt1",1.31084884428748,1.4065762507641,1.07302703656015,"0.5","5"
"837","GTX-680","hotspotOpt1",1.3109645144131,1.36175419748178,1.03874222567453,"0.5","5"
"62","GTX-680","hotspotOpt1",1.42308358455827,1.43091194672137,1.00550098549941,"0.5","5"
"683","GTX-680","hotspotOpt1",1.31077177306136,1.36195363790812,1.03904712162608,"0.5","5"
"532","GTX-680","hotspotOpt1",1.52521960865292,1.50195688148833,0.984747949060836,"0.5","5"
"579","GTX-680","hotspotOpt1",1.43271113837787,1.42675668785187,0.995843928083969,"0.5","5"
"272","GTX-680","hotspotOpt1",1.4227194273674,1.42873748900166,1.00422997079994,"0.5","5"
"672","GTX-680","hotspotOpt1",1.32133000587581,1.36198337164301,1.03076700414463,"0.5","5"
"373","GTX-680","hotspotOpt1",1.42281039608691,1.43091194672137,1.00569404796081,"0.5","5"
"630","GTX-680","hotspotOpt1",1.5250569110733,1.49119616338933,0.977797059612585,"0.5","5"
"168","GTX-680","hotspotOpt1",1.4231200417318,1.43022899529366,1.00499532952484,"0.5","5"
"247","GTX-680","hotspotOpt1",1.3214527724743,1.36198337164301,1.03067124305383,"0.5","5"
"104","GTX-680","hotspotOpt1",1.52509045514634,1.53100592762204,1.00387876827616,"0.5","5"
"96","GTX-680","hotspotOpt1",1.42297425830436,1.43127570432345,1.00583386942571,"0.5","5"
"908","GTX-680","hotspotOpt1",1.42255636988762,1.42866030191098,1.00429081908638,"0.5","5"
"862","GTX-680","hotspotOpt1",1.43530924217174,1.43091194672137,0.996936342830399,"0.5","5"
"542","GTX-680","hotspotOpt1",1.32167806711361,1.36174984794027,1.03031886646509,"0.5","5"
"691","GTX-680","hotspotOpt1",1.52479792211318,1.53100592762204,1.00407136278115,"0.5","5"
"784","GTX-680","hotspotOpt1",1.52544865675864,1.50195688148833,0.984600087871704,"0.5","5"
"264","GTX-680","hotspotOpt1",1.31070436339906,1.36174984794027,1.03894507866658,"0.5","5"
"734","GTX-680","hotspotOpt1",1.32199633859941,1.36175419748178,1.03007410665334,"0.5","5"
"547","GTX-680","hotspotOpt1",1.42266486868495,1.42866030191098,1.00421422736866,"0.5","5"
"320","GTX-680","hotspotOpt1",1.52525318373656,1.4989112988179,0.982729500125268,"0.5","5"
"551","Tesla-K40","hotspotOpt1",1.43423857195931,1.42043745900179,0.990377393812059,"0.5","5"
"968","Tesla-K40","hotspotOpt1",1.54370470371889,1.54766831186401,1.00256759478388,"0.5","5"
"736","Tesla-K40","hotspotOpt1",1.54294702140793,1.54591355841139,1.00192264346235,"0.5","5"
"6811","Tesla-K40","hotspotOpt1",1.54370470371889,1.54717659812303,1.00224906641521,"0.5","5"
"7441","Tesla-K40","hotspotOpt1",1.54388445472808,1.5451337205172,1.00080917052134,"0.5","5"
"624","Tesla-K40","hotspotOpt1",1.4343162639049,1.42052989348021,0.990388193474733,"0.5","5"
"391","Tesla-K40","hotspotOpt1",1.54399420433281,1.54569233262659,1.00109982815287,"0.5","5"
"739","Tesla-K40","hotspotOpt1",1.6396002760866,1.65235487721352,1.007779091839,"0.5","5"
"856","Tesla-K40","hotspotOpt1",1.43398570364735,1.42041121012904,0.99053373162384,"0.5","5"
"894","Tesla-K40","hotspotOpt1",1.64248919562482,1.652397400851,1.00603243251315,"0.5","5"
"522","Tesla-K40","hotspotOpt1",1.43375377238573,1.4203984496113,0.990685065293881,"0.5","5"
"313","Tesla-K40","hotspotOpt1",1.54374086527727,1.53741662343138,0.995903300878958,"0.5","5"
"584","Tesla-K40","hotspotOpt1",1.43414089870785,1.42026498997677,0.990324584743676,"0.5","5"
"606","Tesla-K40","hotspotOpt1",1.63947370854038,1.6516656512225,1.00743649783379,"0.5","5"
"60","Tesla-K40","hotspotOpt1",1.63947370854038,1.65223590826585,1.00778432716486,"0.5","5"
"7281","Tesla-K40","hotspotOpt1",1.43443225863019,1.4203984496113,0.990216471405707,"0.5","5"
"978","Tesla-K40","hotspotOpt1",1.63959832820439,1.65151108056157,1.0072656529055,"0.5","5"
"875","Tesla-K40","hotspotOpt1",1.64230118520073,1.65165117803484,1.00569322662516,"0.5","5"
"471","Tesla-K40","hotspotOpt1",1.54366854958516,1.53318409311641,0.993208090900365,"0.5","5"
"270","Tesla-K40","hotspotOpt1",1.43447114307011,1.42479961982715,0.993257777760342,"0.5","5"
"383","Tesla-K40","hotspotOpt1",1.6393491770091,1.65233026653961,1.00791844087432,"0.5","5"
"72","Tesla-K40","hotspotOpt1",1.43383064524782,1.42044367764544,0.99066349457187,"0.5","5"
"956","Tesla-K40","hotspotOpt1",1.43433569224852,1.4206107539001,0.990431153304915,"0.5","5"
"605","Tesla-K40","hotspotOpt1",1.54072888985398,1.54569233262659,1.00322149003975,"0.5","5"
"937","Tesla-K40","hotspotOpt1",1.63972303612595,1.64875265376584,1.00550679440427,"0.5","5"
"706","Tesla-K40","hotspotOpt1",1.63984783243017,1.65169642355245,1.00722542109576,"0.5","5"
"785","Tesla-K40","hotspotOpt1",1.63947565504453,1.6516547095796,1.00742862786501,"0.5","5"
"244","Tesla-K40","hotspotOpt1",1.43433508508033,1.42053930390013,0.990381758541847,"0.5","5"
