"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures"
"925","GTX-680","needle_cuda_shared_2",1.04461147976265,1.03165683135848,0.987598596554665,"0.5","5"
"240","GTX-680","needle_cuda_shared_2",1.11090804229115,1.10066004249569,0.990775114226085,"0.5","5"
"333","GTX-680","needle_cuda_shared_2",1.11960698244783,1.10707097805048,0.988803209881783,"0.5","5"
"497","GTX-680","needle_cuda_shared_2",1.04382820466842,1.03016768291495,0.986913055527365,"0.5","5"
"375","GTX-680","needle_cuda_shared_2",1.13995050280799,1.0995470232498,0.964556812371532,"0.5","5"
"870","GTX-680","needle_cuda_shared_2",1.04643578529767,1.03303856318701,0.987197282146795,"0.5","5"
"538","GTX-680","needle_cuda_shared_2",1.14562329116941,1.10840548086844,0.967513046751193,"0.5","5"
"531","GTX-680","needle_cuda_shared_2",1.10343574365623,1.1066330697735,1.00289760970283,"0.5","5"
"171","GTX-680","needle_cuda_shared_2",1.09869333732852,1.10479065987169,1.0055496127409,"0.5","5"
"813","GTX-680","needle_cuda_shared_2",1.14793964416485,1.10218257307777,0.960139828500852,"0.5","5"
"839","GTX-680","needle_cuda_shared_2",1.13975353194257,1.09926928535269,0.964479823527394,"0.5","5"
"919","GTX-680","needle_cuda_shared_2",1.13627056964512,1.10118078911915,0.96911846397911,"0.5","5"
"128","GTX-680","needle_cuda_shared_2",1.13107495074218,1.10881010419996,0.980315321696751,"0.5","5"
"209","GTX-680","needle_cuda_shared_2",1.13035352084518,1.09232470252603,0.966356703794121,"0.5","5"
"495","GTX-680","needle_cuda_shared_2",1.03514989583268,1.03933209856672,1.00404019046022,"0.5","5"
"201","GTX-680","needle_cuda_shared_2",1.14879494904991,1.11819574782274,0.973364087949305,"0.5","5"
"232","GTX-680","needle_cuda_shared_2",1.14335754777217,1.10434145422961,0.965875859551905,"0.5","5"
"694","GTX-680","needle_cuda_shared_2",1.13741259621846,1.10177307765203,0.968666147460541,"0.5","5"
"776","GTX-680","needle_cuda_shared_2",1.06965696645604,1.10390219775732,1.03201515287162,"0.5","5"
"688","GTX-680","needle_cuda_shared_2",1.05892090796125,1.04380003467833,0.985720488499907,"0.5","5"
"734","GTX-680","needle_cuda_shared_2",1.04166599408457,1.04448862545063,1.00270972786104,"0.5","5"
"859","GTX-680","needle_cuda_shared_2",1.14214223937794,1.10272527623593,0.965488568951382,"0.5","5"
"904","GTX-680","needle_cuda_shared_2",1.14294451861706,1.10995959485347,0.971140398132795,"0.5","5"
"539","GTX-680","needle_cuda_shared_2",1.14074214886194,1.1010564358022,0.965210619157604,"0.5","5"
"184","GTX-680","needle_cuda_shared_2",1.14858046059812,1.12325726902512,0.977952618521982,"0.5","5"
"766","GTX-680","needle_cuda_shared_2",1.06640513778677,1.10326014008337,1.03456003819814,"0.5","5"
"723","GTX-680","needle_cuda_shared_2",1.07056181578859,1.11175089093923,1.0384742614048,"0.5","5"
"773","GTX-680","needle_cuda_shared_2",1.1518453198235,1.12462532862528,0.976368362374908,"0.5","5"
"142","GTX-680","needle_cuda_shared_2",1.04723908233874,1.03785312336966,0.991037424856114,"0.5","5"
"444","GTX-680","needle_cuda_shared_2",1.12475593265209,1.09182754657949,0.97072397209325,"0.5","5"
"847","GTX-680","needle_cuda_shared_2",1.14836641484727,1.117896916336,0.973467093675564,"0.5","5"
"111","GTX-680","needle_cuda_shared_2",1.11061046639264,1.09300796939189,0.984150611277844,"0.5","5"
"724","GTX-680","needle_cuda_shared_2",1.10724834251492,1.10885161133501,1.00144797581404,"0.5","5"
"156","GTX-680","needle_cuda_shared_2",1.13761119017282,1.09286973561557,0.96067069756016,"0.5","5"
"428","GTX-680","needle_cuda_shared_2",1.05338513968386,1.0678099807989,1.01369379590771,"0.5","5"
"841","GTX-680","needle_cuda_shared_2",1.0628764389412,1.06190698377793,0.999087894765798,"0.5","5"
"909","GTX-680","needle_cuda_shared_2",1.09816490240437,1.10524318542417,1.00644555567593,"0.5","5"
"344","GTX-680","needle_cuda_shared_2",1.04406256664268,1.06765246745598,1.02259433636161,"0.5","5"
"517","GTX-680","needle_cuda_shared_2",1.14815280997366,1.10218257307777,0.959961569142573,"0.5","5"
"742","GTX-680","needle_cuda_shared_2",1.14074214886194,1.09984919757177,0.964152327209996,"0.5","5"
"599","GTX-680","needle_cuda_shared_2",1.12424632411077,1.10510822459532,0.982976951665292,"0.5","5"
"712","GTX-680","needle_cuda_shared_2",1.14604061619726,1.10154450618146,0.961174054927094,"0.5","5"
"276","GTX-680","needle_cuda_shared_2",1.14034557044568,1.1010564358022,0.965546290824706,"0.5","5"
"952","GTX-680","needle_cuda_shared_2",1.09790169127456,1.10429205191904,1.00582052172364,"0.5","5"
"808","GTX-680","needle_cuda_shared_2",1.14793964416485,1.12034791145175,0.975964125942201,"0.5","5"
"488","GTX-680","needle_cuda_shared_2",1.12124016784621,1.09861167829471,0.97981833847875,"0.5","5"
"780","GTX-680","needle_cuda_shared_2",1.14094100823154,1.10231050564514,0.966141542544541,"0.5","5"
"474","GTX-680","needle_cuda_shared_2",1.14397058480545,1.11608691894334,0.97562553947412,"0.5","5"
"306","GTX-680","needle_cuda_shared_2",1.03754571065934,1.0273214967692,0.990145770171762,"0.5","5"
"48","GTX-680","needle_cuda_shared_2",1.14397058480545,1.11821922732956,0.977489493333201,"0.5","5"
"827","GTX-680","needle_cuda_shared_2",1.11532169261482,1.10821998552513,0.993632593056593,"0.5","5"
"503","GTX-680","needle_cuda_shared_2",1.14479364570883,1.11702298177707,0.975741773169463,"0.5","5"
"664","GTX-680","needle_cuda_shared_2",1.14772691561955,1.10205670230292,0.960208118590672,"0.5","5"
"352","GTX-680","needle_cuda_shared_2",1.14815280997366,1.12339183626641,0.97843407820617,"0.5","5"
"266","GTX-680","needle_cuda_shared_2",1.14688033843279,1.10154450618146,0.960470303019334,"0.5","5"
"466","GTX-680","needle_cuda_shared_2",1.13703451512166,1.10823419926186,0.974670675800265,"0.5","5"
